code,parent,label_en
1612,161,Processing and finishing of wood
162,16,"Manufacture of products of wood, cork, straw and plaiting materials"
1621,162,Manufacture of veneer sheets and wood-based panels
1622,162,Manufacture of assembled parquet floors
1623,162,Manufacture of other builders' carpentry and joinery
1624,162,Manufacture of wooden containers
1625,162,Manufacture of doors and windows of wood
1626,162,Manufacture of solid fuels from vegetable biomass
1627,162,Finishing of wooden products
1628,162,"Manufacture of other products of wood and articles of cork, straw and plaiting materials"
17,C,Manufacture of paper and paper products
171,17,"Manufacture of pulp, paper and paperboard"
1711,171,Manufacture of pulp
1712,171,Manufacture of paper and paperboard
172,17,Manufacture of articles of paper and paperboard
1721,172,"Manufacture of corrugated paper, paperboard and containers of paper and paperboard"
1722,172,Manufacture of household and sanitary goods and of toilet requisites
1723,172,Manufacture of paper stationery
1724,172,Manufacture of wallpaper
1725,172,Manufacture of other articles of paper and paperboard
18,C,Printing and reproduction of recorded media
181,18,Printing and service activities related to printing
1811,181,Printing of newspapers
1812,181,Other printing
1813,181,Pre-press and pre-media services
1814,181,Binding and related services
182,18,Reproduction of recorded media
1820,182,Reproduction of recorded media
19,C,Manufacture of coke and refined petroleum products
191,19,Manufacture of coke oven products
1910,191,Manufacture of coke oven products
192,19,Manufacture of refined petroleum products and fossil fuel products
1920,192,Manufacture of refined petroleum products and fossil fuel products
20,C,Manufacture of chemicals and chemical products
201,20,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
2011,201,Manufacture of industrial gases
2012,201,Manufacture of dyes and pigments
2013,201,Manufacture of other inorganic basic chemicals
2014,201,Manufacture of other organic basic chemicals
2015,201,Manufacture of fertilisers and nitrogen compounds
2016,201,Manufacture of plastics in primary forms
2017,201,Manufacture of synthetic rubber in primary forms
202,20,"Manufacture of pesticides, disinfectants and other agrochemical products"
2020,202,"Manufacture of pesticides, disinfectants and other agrochemical products"
203,20,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
2030,203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
204,20,"Manufacture of washing, cleaning and polishing preparations"
2041,204,"Manufacture of soap and detergents, cleaning and polishing preparations"
2042,204,Manufacture of perfumes and toilet preparations
205,20,Manufacture of other chemical products
2051,205,Manufacture of liquid biofuels
2059,205,Manufacture of other chemical products n.e.c.
206,20,Manufacture of man-made fibres
2060,206,Manufacture of man-made fibres
21,C,Manufacture of basic pharmaceutical products and pharmaceutical preparations
211,21,Manufacture of basic pharmaceutical products
2110,211,Manufacture of basic pharmaceutical products
212,21,Manufacture of pharmaceutical preparations
2120,212,Manufacture of pharmaceutical preparations
22,C,Manufacture of rubber and plastic products
221,22,Manufacture of rubber products
2211,221,"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes"
2212,221,Manufacture of other rubber products
222,22,Manufacture of plastic products
2221,222,"Manufacture of plastic plates, sheets, tubes and profiles"
2222,222,Manufacture of plastic packing goods
2223,222,Manufacture of doors and windows of plastic
2224,222,Manufacture of builders’ ware of plastic
2225,222,Processing and finishing of plastic products
2226,222,Manufacture of other plastic products
23,C,Manufacture of other non-metallic mineral products
231,23,Manufacture of glass and glass products
2311,231,Manufacture of flat glass
2312,231,Shaping and processing of flat glass
2313,231,Manufacture of hollow glass
2314,231,Manufacture of glass fibres
2315,231,"Manufacture and processing of other glass, including technical glassware"
232,23,Manufacture of refractory products
2320,232,Manufacture of refractory products
233,23,Manufacture of clay building materials
2331,233,Manufacture of ceramic tiles and flags
2332,233,"Manufacture of bricks, tiles and construction products, in baked clay"
234,23,Manufacture of other porcelain and ceramic products
2341,234,Manufacture of ceramic household and ornamental articles
2342,234,Manufacture of ceramic sanitary fixtures
2343,234,Manufacture of ceramic insulators and insulating fittings
2344,234,Manufacture of other technical ceramic products
2345,234,Manufacture of other ceramic products
235,23,"Manufacture of cement, lime and plaster"
2351,235,Manufacture of cement
2352,235,Manufacture of lime and plaster
236,23,"Manufacture of articles of concrete, cement and plaster"
2361,236,Manufacture of concrete products for construction purposes
2362,236,Manufacture of plaster products for construction purposes
2363,236,Manufacture of ready-mixed concrete
2364,236,Manufacture of mortars
2365,236,Manufacture of fibre cement
2366,236,"Manufacture of other articles of concrete, cement and plaster"
237,23,"Cutting, shaping and finishing of stone"
2370,237,"Cutting, shaping and finishing of stone"
239,23,Manufacture of abrasive products and non-metallic mineral products n.e.c.
2391,239,Manufacture of abrasive products
2399,239,Manufacture of other non-metallic mineral products n.e.c.
24,C,Manufacture of basic metals
241,24,Manufacture of basic iron and steel and of ferro-alloys
2410,241,Manufacture of basic iron and steel and of ferro-alloys
242,24,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
2420,242,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
243,24,Manufacture of other products of first processing of steel
2431,243,Cold drawing of bars
2432,243,Cold rolling of narrow strip
2433,243,Cold forming or folding
2434,243,Cold drawing of wire
244,24,Manufacture of basic precious and other non-ferrous metals
2441,244,Precious metals production
2442,244,Aluminium production
2443,244,"Lead, zinc and tin production"
2444,244,Copper production
2445,244,Other non-ferrous metal production
2446,244,Processing of nuclear fuel
245,24,Casting of metals
2451,245,Casting of iron
2452,245,Casting of steel
2453,245,Casting of light metals
2454,245,Casting of other non-ferrous metals
25,C,"Manufacture of fabricated metal products, except machinery and equipment"
251,25,Manufacture of structural metal products
2511,251,Manufacture of metal structures and parts of structures
2512,251,Manufacture of doors and windows of metal
252,25,"Manufacture of tanks, reservoirs and containers of metal"
2521,252,"Manufacture of central heating radiators, steam generators and boilers"
2522,252,"Manufacture of other tanks, reservoirs and containers of metal"
253,25,Manufacture of weapons and ammunition
2530,253,Manufacture of weapons and ammunition
254,25,Forging and shaping metal and powder metallurgy
2540,254,Forging and shaping metal and powder metallurgy
255,25,Treatment and coating of metals; machining
2551,255,Coating of metals
2552,255,Heat treatment of metals
2553,255,Machining of metals
256,25,"Manufacture of cutlery, tools and general hardware"
2561,256,Manufacture of cutlery
2562,256,Manufacture of locks and hinges
2563,256,Manufacture of tools
259,25,Manufacture of other fabricated metal products
2591,259,Manufacture of steel drums and similar containers
2592,259,Manufacture of light metal packaging
2593,259,"Manufacture of wire products, chain and springs"
2594,259,Manufacture of fasteners and screw machine products
2599,259,Manufacture of other fabricated metal products n.e.c.
26,C,"Manufacture of computer, electronic and optical products"
261,26,Manufacture of electronic components and boards
2611,261,Manufacture of electronic components
2612,261,Manufacture of loaded electronic boards
262,26,Manufacture of computers and peripheral equipment
2620,262,Manufacture of computers and peripheral equipment
263,26,Manufacture of communication equipment
2630,263,Manufacture of communication equipment
264,26,Manufacture of consumer electronics
2640,264,Manufacture of consumer electronics
265,26,"Manufacture of measuring testing instruments, clocks and watches"
2651,265,"Manufacture of instruments and appliances for measuring, testing and navigation"
2652,265,Manufacture of watches and clocks
266,26,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
2660,266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
267,26,"Manufacture of optical instruments, magnetic and optical media and photographic equipment"
2670,267,"Manufacture of optical instruments, magnetic and optical media and photographic equipment"
27,C,Manufacture of electrical equipment
271,27,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
2711,271,"Manufacture of electric motors, generators and transformers"
2712,271,Manufacture of electricity distribution and control apparatus
272,27,Manufacture of batteries and accumulators
2720,272,Manufacture of batteries and accumulators
273,27,Manufacture of wiring and wiring devices
2731,273,Manufacture of fibre optic cables
2732,273,Manufacture of other electronic and electric wires and cables
2733,273,Manufacture of wiring devices
274,27,Manufacture of lighting equipment
2740,274,Manufacture of lighting equipment
275,27,Manufacture of domestic appliances
2751,275,Manufacture of electric domestic appliances
2752,275,Manufacture of non-electric domestic appliances
279,27,Manufacture of other electrical equipment
2790,279,Manufacture of other electrical equipment
28,C,Manufacture of machinery and equipment n.e.c.
281,28,Manufacture of general-purpose machinery
2811,281,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
2812,281,Manufacture of fluid power equipment
2813,281,Manufacture of other pumps and compressors
2814,281,Manufacture of other taps and valves
2815,281,"Manufacture of bearings, gears, gearing and driving elements"
282,28,Manufacture of other general-purpose machinery
2821,282,"Manufacture of ovens, furnaces and permanent household heating equipment"
2822,282,Manufacture of lifting and handling equipment
2823,282,"Manufacture of office machinery and equipment, except computers and peripheral equipment"
2824,282,Manufacture of power-driven hand tools
2825,282,Manufacture of non-domestic air conditioning equipment
2829,282,Manufacture of other general-purpose machinery n.e.c.
283,28,Manufacture of agricultural and forestry machinery
2830,283,Manufacture of agricultural and forestry machinery
284,28,Manufacture of metal forming machinery and machine tools
2841,284,Manufacture of metal forming machinery and machine tools for metal work
2842,284,Manufacture of other machine tools
289,28,Manufacture of other special-purpose machinery
2891,289,Manufacture of machinery for metallurgy
2892,289,"Manufacture of machinery for mining, quarrying and construction"
2893,289,"Manufacture of machinery for food, beverage and tobacco processing"
2894,289,"Manufacture of machinery for textile, apparel and leather production"
2895,289,Manufacture of machinery for paper and paperboard production
2896,289,Manufacture of plastics and rubber machinery
2897,289,Manufacture of additive manufacturing machinery
2899,289,Manufacture of other special-purpose machinery n.e.c.
29,C,"Manufacture of motor vehicles, trailers and semi-trailers"
291,29,Manufacture of motor vehicles
2910,291,Manufacture of motor vehicles
292,29,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers
2920,292,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers
293,29,Manufacture of motor vehicle parts and accessories
2931,293,Manufacture of electrical and electronic equipment for motor vehicles
2932,293,Manufacture of other parts and accessories for motor vehicles
30,C,Manufacture of other transport equipment
301,30,Building of ships and boats
3011,301,Building of civilian ships and floating structures
3012,301,Building of pleasure and sporting boats
3013,301,Building of military ships and vessels
302,30,Manufacture of railway locomotives and rolling stock
3020,302,Manufacture of railway locomotives and rolling stock
303,30,Manufacture of air and spacecraft and related machinery
3031,303,Manufacture of civilian air and spacecraft and related machinery
3032,303,Manufacture of military air and spacecraft and related machinery
304,30,Manufacture of military fighting vehicles
3040,304,Manufacture of military fighting vehicles
309,30,Manufacture of transport equipment n.e.c.
3091,309,Manufacture of motorcycles
3092,309,Manufacture of bicycles and invalid carriages
3099,309,Manufacture of other transport equipment n.e.c.
31,C,Manufacture of furniture
310,31,Manufacture of furniture
3100,310,Manufacture of furniture
32,C,Other manufacturing
321,32,"Manufacture of jewellery, bijouterie and related articles"
3211,321,Striking of coins
3212,321,Manufacture of jewellery and related articles
3213,321,Manufacture of imitation jewellery and related articles
322,32,Manufacture of musical instruments
3220,322,Manufacture of musical instruments
323,32,Manufacture of sports goods
3230,323,Manufacture of sports goods
324,32,Manufacture of games and toys
3240,324,Manufacture of games and toys
325,32,Manufacture of medical and dental instruments and supplies
3250,325,Manufacture of medical and dental instruments and supplies
329,32,Manufacturing n.e.c.
3291,329,Manufacture of brooms and brushes
3299,329,Other manufacturing n.e.c.
33,C,"Repair, maintenance and installation of machinery and equipment"
331,33,"Repair and maintenance of fabricated metal products, machinery and equipment"
3311,331,Repair and maintenance of fabricated metal products
3312,331,Repair and maintenance of machinery
3313,331,Repair and maintenance of electronic and optical equipment
3314,331,Repair and maintenance of electrical equipment
3315,331,Repair and maintenance of civilian ships and boats
3316,331,Repair and maintenance of civilian air and spacecraft
3317,331,Repair and maintenance of other civilian transport equipment
3318,331,"Repair and maintenance of military fighting vehicles, ships, boats, air and spacecraft"
3319,331,Repair and maintenance of other equipment
332,33,Installation of industrial machinery and equipment
3320,332,Installation of industrial machinery and equipment
D,,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
35,D,"Electricity, gas, steam and air conditioning supply"
351,35,"Electric power generation, transmission and distribution"
3511,351,Production of electricity from non-renewable sources
3512,351,Production of electricity from renewable sources
3513,351,Transmission of electricity
3514,351,Distribution of electricity
3515,351,Trade of electricity
3516,351,Storage of electricity
352,35,"Manufacture of gas, and distribution of gaseous fuels through mains"
3521,352,Manufacture of gas
3522,352,Distribution of gaseous fuels through mains
3523,352,Trade of gas through mains
3524,352,Storage of gas as part of network supply services
353,35,Steam and air conditioning supply
3530,353,Steam and air conditioning supply
354,35,Activities of brokers and agents for electric power and natural gas
3540,354,Activities of brokers and agents for electric power and natural gas
E,,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
36,E,"Water collection, treatment and supply"
360,36,"Water collection, treatment and supply"
3600,360,"Water collection, treatment and supply"
37,E,Sewerage
370,37,Sewerage
3700,370,Sewerage
38,E,"Waste collection, recovery and disposal activities"
381,38,Waste collection
3811,381,Collection of non-hazardous waste
3812,381,Collection of hazardous waste
382,38,Waste recovery
3821,382,Materials recovery
3822,382,Energy recovery
3823,382,Other waste recovery
383,38,Waste disposal without recovery
3831,383,Incineration without energy recovery
3832,383,Landfilling or permanent storage
3833,383,Other waste disposal
39,E,Remediation activities and other waste management service activities
390,39,Remediation activities and other waste management service activities
3900,390,Remediation activities and other waste management service activities
F,,CONSTRUCTION
41,F,Construction of residential and non-residential buildings
410,41,Construction of residential and non-residential buildings
4100,410,Construction of residential and non-residential buildings
42,F,Civil engineering
421,42,Construction of roads and railways
4211,421,Construction of roads and motorways
4212,421,Construction of railways and underground railways
4213,421,Construction of bridges and tunnels
422,42,Construction of utility projects
4221,422,Construction of utility projects for fluids
4222,422,Construction of utility projects for electricity and telecommunications
429,42,Construction of other civil engineering projects
4291,429,Construction of water projects
4299,429,Construction of other civil engineering projects n.e.c.
43,F,Specialised construction activities
431,43,Demolition and site preparation
4311,431,Demolition
4312,431,Site preparation
4313,431,Test drilling and boring
432,43,"Electrical, plumbing and other construction installation activities"
4321,432,Electrical installation
4322,432,"Plumbing, heat and air-conditioning installation"
4323,432,Installation of insulation
4324,432,Other construction installation
433,43,Building completion and finishing
4331,433,Plastering
4332,433,Joinery installation
4333,433,Floor and wall covering
4334,433,Painting and glazing
4335,433,Other building completion and finishing
434,43,Specialised construction activities in construction of buildings
4341,434,Roofing activities
4342,434,Other specialised construction activities in construction of buildings
435,43,Specialised construction activities in civil engineering
4350,435,Specialised construction activities in civil engineering
436,43,Intermediation service activities for specialised construction services
4360,436,Intermediation service activities for specialised construction services
439,43,Other specialised construction activities
4391,439,Masonry and bricklaying activities
4399,439,Other specialised construction activities n.e.c.
G,,WHOLESALE AND RETAIL TRADE
46,G,Wholesale trade
461,46,Wholesale on a fee or contract basis
4611,461,"Activities of agents involved in the wholesale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
4612,461,"Activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals"
4613,461,Activities of agents involved in the wholesale of timber and building materials
4614,461,"Activities of agents involved in the wholesale of machinery, industrial equipment, ships and aircraft"
4615,461,"Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery"
4616,461,"Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods"
4617,461,"Activities of agents involved in the wholesale of food, beverages and tobacco"
4618,461,Activities of agents involved in the wholesale of other particular products
4619,461,Activities of agents involved in non-specialised wholesale
462,46,Wholesale of agricultural raw materials and live animals
4621,462,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
4622,462,Wholesale of flowers and plants
4623,462,Wholesale of live animals
4624,462,"Wholesale of hides, skins and leather"
463,46,"Wholesale of food, beverages and tobacco"
4631,463,Wholesale of fruit and vegetables
4632,463,"Wholesale of meat, meat products, fish and fish products"
4633,463,"Wholesale of dairy products, eggs and edible oils and fats"
4634,463,Wholesale of beverages
4635,463,Wholesale of tobacco products
4636,463,"Wholesale of sugar, chocolate and sugar confectionery"
4637,463,"Wholesale of coffee, tea, cocoa and spices"
4638,463,Wholesale of other food
4639,463,"Non-specialised wholesale of food, beverages and tobacco"
464,46,Wholesale of household goods
4641,464,Wholesale of textiles
4642,464,Wholesale of clothing and footwear
4643,464,Wholesale of electrical household appliances
4644,464,Wholesale of china and glassware and cleaning materials
4645,464,Wholesale of perfume and cosmetics
4646,464,Wholesale of pharmaceutical and medical goods
4647,464,"Wholesale of household, office and shop furniture, carpets and lighting equipment"
4648,464,Wholesale of watches and jewellery
4649,464,Wholesale of other household goods
465,46,Wholesale of information and communication equipment
4650,465,Wholesale of information and communication equipment
466,46,"Wholesale of other machinery, equipment and supplies"
4661,466,"Wholesale of agricultural machinery, equipment and supplies"
4662,466,Wholesale of machine tools
4663,466,"Wholesale of mining, construction and civil engineering machinery"
4664,466,Wholesale of other machinery and equipment
467,46,"Wholesale of motor vehicles, motorcycles and related parts and accessories"
4671,467,Wholesale of motor vehicles
4672,467,Wholesale of motor vehicle parts and accessories
4673,467,"Wholesale of motorcycles, motorcycle parts and accessories"
468,46,Other specialised wholesale
4681,468,"Wholesale of solid, liquid and gaseous fuels and related products"
4682,468,Wholesale of metals and metal ores
4683,468,"Wholesale of wood, construction materials and sanitary equipment"
4684,468,"Wholesale of hardware, plumbing and heating equipment and supplies"
4685,468,Wholesale of chemical products
4686,468,Wholesale of other intermediate products
4687,468,Wholesale of waste and scrap
4689,468,Other specialised wholesale n.e.c.
469,46,Non-specialised wholesale trade
4690,469,Non-specialised wholesale trade
47,G,Retail trade
471,47,Non-specialised retail sale
4711,471,"Non-specialised retail sale of predominately food, beverages or tobacco"
4712,471,Other non-specialised retail sale
472,47,"Retail sale of food, beverages and tobacco"
4721,472,Retail sale of fruit and vegetables
4722,472,Retail sale of meat and meat products
4723,472,"Retail sale of fish, crustaceans and molluscs"
4724,472,"Retail sale of bread, cake and confectionery"
4725,472,Retail sale of beverages
4726,472,Retail sale of tobacco products
4727,472,Retail sale of other food
473,47,Retail sale of automotive fuel
4730,473,Retail sale of automotive fuel
474,47,Retail sale of information and communication equipment
4740,474,Retail sale of information and communication equipment
475,47,Retail sale of other household equipment
4751,475,Retail sale of textiles
4752,475,"Retail sale of hardware, building materials, paints and glass"
4753,475,"Retail sale of carpets, rugs, wall and floor coverings"
4754,475,Retail sale of electrical household appliances
4755,475,"Retail sale of furniture, lighting equipment, tableware and other household goods"
476,47,Retail sale of cultural and recreational goods
4761,476,Retail sale of books
4762,476,"Retail sale of newspapers, and other periodical publications and stationery"
4763,476,Retail sale of sporting equipment
4764,476,Retail sale of games and toys
4769,476,Retail sale of cultural and recreational goods n.e.c.
477,47,"Retail sale of other goods, except motor vehicles and motorcycles"
4771,477,Retail sale of clothing
4772,477,Retail sale of footwear and leather goods
4773,477,Retail sale of pharmaceutical products
4774,477,Retail sale of medical and orthopaedic goods
4775,477,Retail sale of cosmetic and toilet articles
4776,477,"Retail sale of flowers, plants, fertilisers, pets and pet food"
4777,477,Retail sale of watches and jewellery
4778,477,Retail sale of other new goods
4779,477,Retail sale of second-hand goods
478,47,"Retail sale of motor vehicles, motorcycles and related parts and accessories"
4781,478,Retail sale of motor vehicles
4782,478,Retail sale of motor vehicle parts and accessories
4783,478,"Retail sale of motorcycles, motorcycle parts and accessories"
479,47,Intermediation service activities for retail sale
4791,479,Intermediation service activities for non-specialised retail sale
4792,479,Intermediation service activities for specialised retail sale
H,,TRANSPORTATION AND STORAGE
49,H,Land transport and transport via pipelines
491,49,Passenger rail transport
4911,491,Passenger heavy rail transport
4912,491,Other passenger rail transport
492,49,Freight rail transport
4920,492,Freight rail transport
493,49,Other passenger land transport
4931,493,Scheduled passenger transport by road
4932,493,Non-scheduled passenger transport by road
4933,493,On-demand passenger transport service activities by vehicle with driver
4934,493,Passenger transport by cableways and ski lifts
4939,493,Other passenger land transport n.e.c.
494,49,Freight transport by road and removal services
4941,494,Freight transport by road
4942,494,Removal services
495,49,Transport via pipeline
4950,495,Transport via pipeline
50,H,Water transport
501,50,Sea and coastal passenger water transport
5010,501,Sea and coastal passenger water transport
502,50,Sea and coastal freight water transport
5020,502,Sea and coastal freight water transport
503,50,Inland passenger water transport
5030,503,Inland passenger water transport
504,50,Inland freight water transport
5040,504,Inland freight water transport
51,H,Air transport
511,51,Passenger air transport
5110,511,Passenger air transport
512,51,Freight air transport and space transport
5121,512,Freight air transport
5122,512,Space transport
52,H,"Warehousing, storage and support activities for transportation"
521,52,Warehousing and storage
5210,521,Warehousing and storage
522,52,Support activities for transportation
5221,522,Service activities incidental to land transportation
5222,522,Service activities incidental to water transportation
5223,522,Service activities incidental to air transportation
5224,522,Cargo handling
5225,522,Logistics service activities
5226,522,Other support activities for transportation
523,52,Intermediation service activities for transportation
5231,523,Intermediation service activities for freight transportation
5232,523,Intermediation service activities for passenger transportation
53,H,Postal and courier activities
531,53,Postal activities under universal service obligation
5310,531,Postal activities under universal service obligation
532,53,Other postal and courier activities
5320,532,Other postal and courier activities
533,53,Intermediation service activities for postal and courier activities
5330,533,Intermediation service activities for postal and courier activities
I,,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
55,I,Accommodation
551,55,Hotels and similar accommodation
5510,551,Hotels and similar accommodation
552,55,Holiday and other short-stay accommodation
5520,552,Holiday and other short-stay accommodation
553,55,Camping grounds and recreational vehicle parks
5530,553,Camping grounds and recreational vehicle parks
554,55,Intermediation service activities for accommodation
5540,554,Intermediation service activities for accommodation
559,55,Other accommodation
5590,559,Other accommodation
56,I,Food and beverage service activities
561,56,Restaurants and mobile food service activities
5611,561,Restaurant activities
5612,561,Mobile food service activities
562,56,"Event catering, contract catering service activities and other food service activities"
5621,562,Event catering activities
5622,562,Contract catering service activities and other food service activities
563,56,Beverage serving activities
5630,563,Beverage serving activities
