"report_id";"tabel";"elemendi_label";"elemendi_nimetus";"vaartus"
1002;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"500000.0"
1002;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"5.0"
2002;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"100000.0"
2002;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"5.0"
3002;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"205000.0"
3002;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"2.0"
4002;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"200000.0"
4002;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"5.0"
7002;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"800000.0"
7002;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"12.0"
7012;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"1000000.0"
7012;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"15.0"
